clinician_id,license_role,employment_type
002223DD280F76CCC62100552B924A30,Licensed Counselor,Full Time
006D89D8189DD1B9E8A6D8CD894EA7EE,Clinical Social Worker,Part Time
0127B9A6F7BF8BB7275EEA9FC99559FA,Clinical Social Worker,Part Time
012AFA24D90DA61D7FDE77C49636F819,Psychologist,Part Time
014853BE24B7996DBA79764B3B7A167C,Psychologist,Independent Contractor
024739DC72274DE8728339B1047979E5,Psychologist,Independent Contractor
0352795BE0E0D275D0B01FA2CAC56E20,Psychologist,Independent Contractor
03A2E3680033F4068AD0B6EF63764019,Psychologist,Independent Contractor
03AFAD140386D6B72883C8DD2F02EDCE,Psychologist,Full Time
03C29845D25DC07686EFB555E0FD497C,Psychologist,Part Time
0447D90850617352C22A0547947DCAF8,Clinical Social Worker,Full Time
049B9ADA33CA61D2044614ED702D80F8,Psychologist,Part Time
04DB8D2FC34FB3E61971B1EF6EAB5E0D,Psychologist,Part Time
05818F039AE137364F3FE429376314FA,Clinical Social Worker,Independent Contractor
05ADC9B1D55677A207E9C4E7583CF7B4,Clinical Social Worker,Part Time
05C1AC01962A388D1CC0BF8CCEA7D261,Clinical Social Worker,Independent Contractor
05ECE5D005502C211D57C5028FCCE17E,Psychologist,Part Time
06399C36D4B85B9E0B8ABFF34E6E8ECF,Psychologist,Independent Contractor
066225D3DD79B5E98A90CD65A59DE07F,Clinical Social Worker,Independent Contractor
0691E21FE74938CF390545C071A574F3,Clinical Social Worker,Independent Contractor
069EB2215C0B10901300D357BF680F54,Psychologist,Independent Contractor
06CEB08F5A912366771E14D3E57745AA,Clinical Social Worker,Independent Contractor
0703CD6DB33B0CFCA9CAD071A6745982,Psychologist,Full Time
071A052C45030021407643E843E92D22,Psychologist,Full Time
07C2FE76983D20120881C0C4CAB6C121,Psychologist,Independent Contractor
08019C67C843407ED3BCC4ABA2CFAA73,Licensed Counselor,Independent Contractor
0921291CBF8AD3C7CC62469FBAE50A22,Licensed Counselor,Independent Contractor
095854463526B4FCB0B2C6C270159223,Marriage And Family Therapist,Part Time
09A1BCD6655FEEE89E86BC07901A5318,Clinical Social Worker,Full Time
09CE26DF38A3DFA479998CB02073B0EC,Clinical Social Worker,Full Time
0A45B0ACD01A8E6866A85FE7E93E6EC3,Clinical Social Worker,Independent Contractor
0A7C4AA58F85FB70976AA3A36C5A473F,Clinical Social Worker,Full Time
0A9196AEC3FA6B8FBC9213633C59BEC1,Psychologist,Independent Contractor
0AD741339A7AFADEB7CE143FF7E329D5,Clinical Social Worker,Independent Contractor
0AEE8CC3E835F93953FFE556EC99FA10,Psychologist,Independent Contractor
0AF329C1C69498C605CA0EB1DAA4309B,Psychologist,Independent Contractor
0B7173DC54B1E40CF3E6EC7AF103FFF2,Psychologist,Independent Contractor
0BD5620B8E13A38BE7A64E91C53FD0C5,Clinical Social Worker,Independent Contractor
0C0BE6EEDFD6A4C0B0A2838D6EDBD54B,Psychologist,Part Time
0D0744B237113532671C632FC8235163,Psychologist,Independent Contractor
0D787D3828D1B6C2B80E18A87CCDE1A4,Clinical Social Worker,Full Time
0E5448C9EC48ABBD37AB922B72E7BA85,Clinical Social Worker,Full Time
0EE3C720C11CF5C2E717439B255CBF23,Clinical Social Worker,Independent Contractor
0F4E756B5F29892A8C3DCCE7A1151F3E,Clinical Social Worker,Full Time
0FDA35E7C6743CCC8CC694776C740EC6,Psychologist,Independent Contractor
